name,address,city,state,county,phone,website,service_type,hours,notes,active
Blessed Miriam Teresa Food Pantry,326 Avenue C,Bayonne,NJ,Hudson,201-437-4090,,Food Pantry,"Every 3rd Saturday of the Month, 9:00am–10:30am",Hudson County,true
Christ the King Food Pantry,768 Ocean Avenue,Jersey City,NJ,Hudson,201-333-4862,,Food Pantry,Tuesday & Thursday 10:00am–12:00pm; Saturday 9:00am–12:00pm,Hudson County,true
Mercy House Jersey City Food Pantry,20 Greenville Avenue,Jersey City,NJ,Hudson,973-497-4350,,Food Pantry,Monday & Thursday 11:00am–4:00pm,Hudson County,true
Our Lady of Fatima Food Pantry,8101 Kennedy Blvd.,North Bergen,NJ,Hudson,201-869-7244,,Food Pantry,Monday–Thursday 9:30am–12:00pm & 1:00pm–5:00pm,Hudson County,true
Our Lady of Sorrows Food Pantry,93 Clerk Street,Jersey City,NJ,Hudson,201-433-0626,,Food Pantry,Monday, Wednesday & Friday 9:30am–1:00pm; Every 2nd Saturday of the Month 9:30am–1:00pm,Hudson County,true
Salvation Army Food Pantry,515 43rd Street,Union City,NJ,Hudson,201-867-4093,,Food Pantry,Thursday 9:00am–10:00am,Hudson County,true
Salvation Army Soup Kitchen,515 43rd Street,Union City,NJ,Hudson,201-867-4093,,Soup Kitchen,Tuesday–Friday 11:30am–12:15pm,Hudson County,true
St. Peter's University Campus Kitchen,39 Tuers Ave.,Jersey City,NJ,Hudson,201-761-7395,,Soup Kitchen,"Open September–May; Mon–Fri 2:30pm–5:00pm; Saturday 2:00pm–4:00pm",Hudson County,true
St. Rocco's Church Food Pantry,4206 Kennedy Blvd.,Union City,NJ,Hudson,201-863-1427,,Food Pantry,Monday 9:00am–11:30am,Hudson County,true
